waktu;save_pH;value_pH;interval_pH;save_temp;value_temp;interval_temp;save_DO;value_DO;interval_DO;save_turb;value_turb;interval_turb;current;voltage
0:0:0:0;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;152.50;12.51
0:0:1:88;0;0.00;60000.00;1;24.09;1000.00;0;0.00;90000.00;1;234.47;1000.00;110.60;12.53
0:0:1:88;0;0.00;60000.00;1;24.09;1000.00;0;0.00;90000.00;1;234.47;1000.00;110.60;12.53
0:0:1:88;0;0.00;60000.00;1;24.09;1000.00;0;0.00;90000.00;1;234.47;1000.00;110.60;12.53
0:0:1:88;0;0.00;60000.00;1;24.09;1000.00;0;0.00;90000.00;1;234.47;1000.00;110.60;12.53
0:0:1:88;0;0.00;60000.00;1;24.09;1000.00;0;0.00;90000.00;1;234.47;1000.00;110.60;12.53
0:0:1:88;0;0.00;60000.00;1;24.09;1000.00;0;0.00;90000.00;1;234.47;1000.00;110.60;12.53
0:0:2:78;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;226.41;1000.00;108.30;12.52
0:0:2:78;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;226.41;1000.00;108.30;12.52
0:0:2:78;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;226.41;1000.00;108.30;12.52
0:0:2:78;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;226.41;1000.00;108.30;12.52
0:0:2:78;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;226.41;1000.00;108.30;12.52
0:0:2:78;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;226.41;1000.00;108.30;12.52
0:0:2:78;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;226.41;1000.00;108.30;12.52
0:0:2:78;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;226.41;1000.00;108.30;12.52
0:0:3:68;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;228.56;1000.00;108.30;12.52
0:0:3:68;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;228.56;1000.00;108.30;12.52
0:0:3:68;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;228.56;1000.00;108.30;12.52
0:0:3:68;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;228.56;1000.00;108.30;12.52
0:0:3:68;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;228.56;1000.00;108.30;12.52
0:0:3:68;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;228.56;1000.00;108.30;12.52
0:0:3:68;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;228.56;1000.00;108.30;12.52
0:0:3:68;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;228.56;1000.00;108.30;12.52
0:0:4:58;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.23;1000.00;109.30;12.52
0:0:4:58;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.23;1000.00;109.30;12.52
0:0:4:58;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.23;1000.00;109.30;12.52
0:0:4:58;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.23;1000.00;109.30;12.52
0:0:4:58;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.23;1000.00;109.30;12.52
0:0:5:48;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.31;1000.00;109.30;12.52
0:0:5:48;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.31;1000.00;109.30;12.52
0:0:5:48;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.31;1000.00;109.30;12.52
0:0:5:48;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.31;1000.00;109.30;12.52
0:0:5:48;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.31;1000.00;109.30;12.52
0:0:5:48;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.31;1000.00;109.30;12.52
0:0:5:48;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.31;1000.00;109.30;12.52
0:0:5:48;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.31;1000.00;109.30;12.52
0:0:6:38;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.77;1000.00;109.50;12.52
0:0:6:38;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.77;1000.00;109.50;12.52
0:0:6:38;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.77;1000.00;109.50;12.52
0:0:6:38;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.77;1000.00;109.50;12.52
0:0:6:38;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.77;1000.00;109.50;12.52
0:0:6:38;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.77;1000.00;109.50;12.52
0:0:6:38;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.77;1000.00;109.50;12.52
0:0:6:38;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;238.77;1000.00;109.50;12.52
0:0:7:28;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;235.54;1000.00;109.50;12.52
0:0:7:28;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;235.54;1000.00;109.50;12.52
0:0:7:28;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;235.54;1000.00;109.50;12.52
0:0:7:28;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;235.54;1000.00;109.50;12.52
0:0:7:28;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;235.54;1000.00;109.50;12.52
0:0:7:28;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;235.54;1000.00;109.50;12.52
0:0:8:117;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.84;1000.00;108.90;12.52
0:0:8:117;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.84;1000.00;108.90;12.52
0:0:8:117;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.84;1000.00;108.90;12.52
0:0:8:117;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.84;1000.00;108.90;12.52
0:0:8:117;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.84;1000.00;108.90;12.52
0:0:8:117;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;239.84;1000.00;108.90;12.52
0:0:9:107;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;243.07;1000.00;108.90;12.52
0:0:9:107;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;243.07;1000.00;108.90;12.52
0:0:9:107;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;243.07;1000.00;108.90;12.52
0:0:9:107;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;243.07;1000.00;108.90;12.52
0:0:9:107;0;0.00;60000.00;1;24.15;1000.00;0;0.00;90000.00;1;243.07;1000.00;108.90;12.52
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;0.00;0.00;0;-107479040.00;0.06;70;8.00;0.00;0;0.00;48.25;0.00;0.00
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
0:0:0:0;0;48.25;0.00;0;0.00;194.25;0;0.00;0.00;65;0.00;0.00;93.40;12.39
